NAME                                                            VERSION       TYPE 
chokidar                                                        3.4.3         npm   
chrome-trace-event                                              1.0.3         npm   
ci-info                                                         3.2.0         npm   
cjs-module-lexer                                                1.2.2         npm   
class-utils                                                     0.3.6         npm   
clean-stack                                                     2.2.0         npm   
cli-boxes                                                       2.2.1         npm   
cliui                                                           2.1.0         npm   
cliui                                                           6.0.0         npm   
clone-deep                                                      4.0.1         npm   
clone-response                                                  1.0.2         npm   
co                                                              4.6.0         npm   
code-block-writer                                               10.1.1        npm   
collect-v8-coverage                                             1.0.1         npm   
collection-visit                                                1.0.0         npm   
color-convert                                                   1.9.3         npm   
color-name                                                      1.1.3         npm   
colorette                                                       1.4.0         npm   
colors                                                          1.4.0         npm   
combined-stream                                                 1.0.8         npm   
commander                                                       2.20.3        npm   
commander                                                       8.0.0         npm   
commondir                                                       1.0.1         npm   
component-emitter                                               1.3.0         npm   
concat-map                                                      0.0.1         npm   
configstore                                                     5.0.1         npm   
convert-source-map                                              1.7.0         npm   
convert-source-map                                              1.8.0         npm   
copy-descriptor                                                 0.1.1         npm   
core-js                                                         2.6.12        npm   
core-js-compat                                                  3.17.2        npm   
core-util-is                                                    1.0.2         npm   
cosmiconfig                                                     7.0.0         npm   
cross-spawn                                                     7.0.3         npm   
crypto-random-string                                            2.0.0         npm   
cssom                                                           0.4.4         npm   
cssstyle                                                        2.3.0         npm   
data-urls                                                       2.0.0         npm   
dateformat                                                      3.0.3         npm   
debug                                                           4.2.0         npm   
debug                                                           4.3.2         npm   
decamelize                                                      1.2.0         npm   
decimal.js                                                      10.3.1        npm   
decode-uri-component                                            0.2.0         npm   
decompress-response                                             3.3.0         npm   
dedent                                                          0.7.0         npm   
deep-equal                                                      1.0.1         npm   
deep-extend                                                     0.6.0         npm   
deep-is                                                         0.1.4         npm   
deepmerge                                                       4.2.2         npm   
defer-to-connect                                                1.1.3         npm   
define-properties                                               1.1.3         npm   
define-property                                                 0.2.5         npm   
define-property                                                 2.0.2         npm   
defined                                                         1.0.0         npm   
delayed-stream                                                  1.0.0         npm   
detect-indent                                                   4.0.0         npm   
detect-newline                                                  3.1.0         npm   
diff                                                            4.0.2         npm   
diff-sequences                                                  27.0.6        npm   
dir-glob                                                        3.0.1         npm   
doctrine                                                        3.0.0         npm   
domexception                                                    2.0.1         npm   
dot-prop                                                        5.3.0         npm   
duplexer3                                                       0.1.4         npm   
electron-to-chromium                                            1.3.832       npm   
emittery                                                        0.8.1         npm   
emoji-regex                                                     7.0.3         npm   
emoji-regex                                                     8.0.0         npm   
emojis-list                                                     3.0.0         npm   
end-of-stream                                                   1.4.4         npm   
enhanced-resolve                                                5.8.2         npm   
enquirer                                                        2.3.6         npm   
envinfo                                                         7.8.1         npm   
error-ex                                                        1.3.2         npm   
es-abstract                                                     1.13.0        npm   
es-module-lexer                                                 0.7.1         npm   
es-to-primitive                                                 1.2.0         npm   
es6-promise                                                     3.3.1         npm   
escalade                                                        3.1.1         npm   
escape-goat                                                     2.1.1         npm   
escape-string-regexp                                            1.0.5         npm   
escape-string-regexp                                            4.0.0         npm   
escodegen                                                       2.0.0         npm   
eslint                                                          7.32.0        npm   
eslint-config-prettier                                          8.3.0         npm   
eslint-plugin-prettier                                          4.0.0         npm   
eslint-scope                                                    5.1.1         npm   
eslint-utils                                                    3.0.0         npm   
eslint-visitor-keys                                             2.1.0         npm   
espree                                                          7.3.1         npm   
esprima                                                         4.0.1         npm   
esquery                                                         1.4.0         npm   
esrecurse                                                       4.3.0         npm   
estraverse                                                      4.3.0         npm   
estree-walker                                                   0.2.1         npm   
esutils                                                         2.0.3         npm   
events                                                          3.3.0         npm   
execa                                                           5.1.1         npm   
exit                                                            0.1.2         npm   
expand-brackets                                                 0.1.5         npm   
expand-range                                                    1.8.2         npm   
expect                                                          27.1.1        npm   
extend-shallow                                                  2.0.1         npm   
extend-shallow                                                  3.0.2         npm   
extglob                                                         0.3.2         npm   
far                                                             0.0.7         npm   
fast-deep-equal                                                 3.1.3         npm   
fast-diff                                                       1.2.0         npm   
fast-glob                                                       3.2.7         npm   
fast-json-stable-stringify                                      2.1.0         npm   
fast-levenshtein                                                2.0.6         npm   
fast-redact                                                     2.1.0         npm   
fast-safe-stringify                                             2.1.1         npm   
fastest-levenshtein                                             1.0.12        npm   
fastq                                                           1.12.0        npm   
fb-watchman                                                     2.0.1         npm   
file-entry-cache                                                6.0.1         npm   
file-uri-to-path                                                1.0.0         npm   
filename-regex                                                  2.0.1         npm   
fill-range                                                      2.2.4         npm   
fill-range                                                      7.0.1         npm   
find-cache-dir                                                  3.3.2         npm   
find-up                                                         4.1.0         npm   
find-up                                                         5.0.0         npm   
flat                                                            5.0.2         npm   
flat-cache                                                      3.0.4         npm   
flatstr                                                         1.0.12        npm   
flatted                                                         3.2.2         npm   
for-each                                                        0.3.3         npm   
for-in                                                          1.0.2         npm   
for-own                                                         0.1.5         npm   
form-data                                                       3.0.1         npm   
fragment-cache                                                  0.2.1         npm   
fs-extra                                                        9.1.0         npm   
fs-readdir-recursive                                            1.1.0         npm   
fs.realpath                                                     1.0.0         npm   
fsevents                                                        1.2.13        npm   
fsevents                                                        2.3.2         npm   
function-bind                                                   1.1.1         npm   
functional-red-black-tree                                       1.0.1         npm   
gensync                                                         1.0.0-beta.2  npm   
get-caller-file                                                 2.0.5         npm   
get-intrinsic                                                   1.1.1         npm   
get-package-type                                                0.1.0         npm   
get-stream                                                      6.0.1         npm   
get-value                                                       2.0.6         npm   
glob                                                            7.1.4         npm   
glob                                                            7.1.6         npm   
glob                                                            7.1.7         npm   
glob-base                                                       0.3.0         npm   
glob-parent                                                     2.0.0         npm   
glob-parent                                                     5.1.2         npm   
glob-to-regexp                                                  0.4.1         npm   
global-dirs                                                     3.0.0         npm   
globals                                                         11.12.0       npm   
globals                                                         9.18.0        npm   
globby                                                          11.0.4        npm   
got                                                             9.6.0         npm   
graceful-fs                                                     4.2.4         npm   
graceful-fs                                                     4.2.8         npm   
growl                                                           1.10.5        npm   
handlebars                                                      4.7.7         npm   
has                                                             1.0.3         npm   
has-ansi                                                        2.0.0         npm   
has-flag                                                        3.0.0         npm   
has-flag                                                        4.0.0         npm   
has-symbols                                                     1.0.0         npm   
has-symbols                                                     1.0.2         npm   
has-value                                                       0.3.1         npm   
has-value                                                       1.0.0         npm   
has-values                                                      0.1.4         npm   
has-values                                                      1.0.0         npm   
has-yarn                                                        2.1.0         npm   
he                                                              1.2.0         npm   
home-or-tmp                                                     2.0.0         npm   
html-encoding-sniffer                                           2.0.1         npm   
html-escaper                                                    2.0.2         npm   
http-cache-semantics                                            4.1.0         npm   
http-proxy-agent                                                4.0.1         npm   
https-proxy-agent                                               5.0.0         npm   
human-signals                                                   2.1.0         npm   
husky                                                           6.0.0         npm   
iconv-lite                                                      0.4.24        npm   
ignore                                                          4.0.6         npm   
import-fresh                                                    3.3.0         npm   
import-lazy                                                     2.1.0         npm   
import-local                                                    3.0.2         npm   
imurmurhash                                                     0.1.4         npm   
indent-string                                                   4.0.0         npm   
inflight                                                        1.0.6         npm   
inherits                                                        2.0.4         npm   
ini                                                             2.0.0         npm   
interpret                                                       2.2.0         npm   
invariant                                                       2.2.4         npm   
is-absolute                                                     1.0.0         npm   
is-accessor-descriptor                                          0.1.6         npm   
is-accessor-descriptor                                          1.0.0         npm   
is-arrayish                                                     0.2.1         npm   
is-binary-path                                                  1.0.1         npm   
is-buffer                                                       1.1.6         npm   
is-callable                                                     1.1.4         npm   
is-ci                                                           3.0.0         npm   
is-core-module                                                  2.6.0         npm   
is-data-descriptor                                              0.1.4         npm   
is-data-descriptor                                              1.0.0         npm   
is-date-object                                                  1.0.1         npm   
is-descriptor                                                   0.1.6         npm   
is-descriptor                                                   1.0.2         npm   
is-dotfile                                                      1.0.3         npm   
is-equal-shallow                                                0.1.3         npm   
is-extendable                                                   0.1.1         npm   
is-extendable                                                   1.0.1         npm   
is-extglob                                                      1.0.0         npm   
is-extglob                                                      2.1.1         npm   
is-finite                                                       1.1.0         npm   
is-fullwidth-code-point                                         2.0.0         npm   
is-fullwidth-code-point                                         3.0.0         npm   
is-generator-fn                                                 2.1.0         npm   
is-glob                                                         2.0.1         npm   
is-glob                                                         4.0.1         npm   
is-installed-globally                                           0.4.0         npm   
is-negated-glob                                                 1.0.0         npm   
is-npm                                                          5.0.0         npm   
is-number                                                       2.1.0         npm   
is-number                                                       3.0.0         npm   
is-obj                                                          2.0.0         npm   
is-path-inside                                                  3.0.3         npm   
is-plain-obj                                                    2.1.0         npm   
is-plain-object                                                 2.0.4         npm   
is-posix-bracket                                                0.1.1         npm   
is-potential-custom-element-name                                1.0.1         npm   
is-primitive                                                    2.0.0         npm   
is-regex                                                        1.0.4         npm   
is-relative                                                     1.0.0         npm   
is-stream                                                       2.0.1         npm   
is-symbol                                                       1.0.2         npm   
is-typedarray                                                   1.0.0         npm   
is-unc-path                                                     1.0.0         npm   
is-windows                                                      1.0.2         npm   
is-yarn-global                                                  0.3.0         npm   
